,RA,DEC,NAME,TYPE,RMAG,BMAG,COMMENT,R,B,Z,CITE,ZCITE,RXPCT,QPCT,XNAME,RNAME,LOBE1,LOBE2
29,0.0057181,-1.325006,b'SDSS J000001.37-011930.0 ',b'Q   ',20.16,20.14,b'gG ',b'1',b'-',2.328,b'DR16Q ',b'DR16Q ',,,b'                      ',b'                      ',b'                      ',b'                      '
30,0.0059063,20.0122631,b'SDSS J000001.41+200044.1 ',b'Q   ',20.76,21.11,b'gG ',b'1',b'-',3.09,b'DR16Q ',b'DR16Q ',,,b'                      ',b'                      ',b'                      ',b'                      '
31,0.0061322,29.0019782,b'SDSS J000001.47+290007.0 ',b'Q   ',19.33,19.86,b'pG ',b'-',b'-',1.58,b'DR16Q ',b'DR16  ',,,b'                      ',b'                      ',b'                      ',b'                      '
32,0.006147,21.2767149,b'SDSS J000001.47+211636.1 ',b'Q   ',20.57,20.9,b'gG ',b'-',b'1',0.935,b'DR16Q ',b'DR16  ',,,b'                      ',b'                      ',b'                      ',b'                      '
33,0.0064636,-0.5590659,b'SDSS J000001.55-003332.6 ',b'Q   ',22.65,22.57,b'g  ',b'-',b'-',2.22,b'DR16Q ',b'DR16  ',,,b'                      ',b'                      ',b'                      ',b'                      '
34,0.0065127,20.5031984,b'SDSS J000001.56+203011.5 ',b'Q   ',21.24,21.33,b'gG ',b'-',b'1',2.083,b'DR16Q ',b'DR16  ',,,b'                      ',b'                      ',b'                      ',b'                      '
35,0.0066656,-25.2852451,b'J000001.59-251706.8      ',b'X   ',20.61,21.75,b'jN ',b'-',b'-',1.4,b'MQ    ',b'MQ    ',68,65,b'4XMM J000001.8-251706 ',b'                      ',b'                      ',b'                      '
36,0.0068188,30.5193562,b'SDSS J000001.63+303109.6 ',b'Q   ',21.83,21.92,b'g  ',b'-',b'-',2.377,b'DR16Q ',b'DR16Q ',,,b'                      ',b'                      ',b'                      ',b'                      '
37,0.0068554,0.5831839,b'SDSS J000001.64+003459.4 ',b'Q   ',22.46,22.43,b'g  ',b'-',b'-',2.271,b'DR16Q ',b'DR16  ',,,b'                      ',b'                      ',b'                      ',b'                      '
38,0.0072298,0.6401787,b'J000001.73+003824.6      ',b'qX  ',22.43,22.81,b'gN ',b'-',b'-',,b'MQ    ',b'      ',99,98,b'CXOG J000001.7+003824 ',b'                      ',b'                      ',b'                      '
39,0.0072754,-31.3738125,b'2QZ J000001.7-312226     ',b'Q   ',20.21,20.97,b'pG ',b'1',b'1',1.331,b'2QZ   ',b'2QZ   ',,,b'                      ',b'                      ',b'                      ',b'                      '
40,0.0074036,-7.4859053,b'SDSS J000001.76-072909.3 ',b'QR  ',20.3,20.84,b'gG ',b'-',b'-',2.538,b'DR16Q ',b'DR16Q ',99,92,b'                      ',b'FIRST J000001.8-072908',b'RACS J000001.7-072910 ',b'                      '
41,0.0075871,14.1973825,b'SDSS J000001.81+141150.5 ',b'Q   ',20.67,21.82,b'gG ',b'-',b'-',3.711,b'DR16Q ',b'DR16Q ',,,b'                      ',b'                      ',b'                      ',b'                      '
42,0.0077255,14.024503,b'SDSS J000001.85+140128.2 ',b'N   ',19.32,21.64,b'ja ',b'-',b'1',0.48,b'DR16  ',b'DR16  ',,,b'                      ',b'                      ',b'                      ',b'                      '
43,0.007879,-9.7811013,b'Gaia 2422929658858444288 ',b'qX  ',19.3,19.46,b'jG ',b'-',b'-',3.4,b'GAIA3 ',b'GAIA3 ',98,97,b'CXO J000002.0-094649  ',b'                      ',b'                      ',b'                      '
44,0.0078889,-32.2206945,b'J000001.89-321314.5      ',b'X   ',20.79,20.94,b'j  ',b'1',b'-',,b'MQ    ',b'      ',96,91,b'XMMX J000001.3-321313 ',b'                      ',b'                      ',b'                      '
45,0.0078956,44.514945,b'Gaia 385021862214884352  ',b'qX  ',19.45,19.68,b'pG ',b'n',b'-',2.1,b'GAIA3 ',b'GAIA3 ',97,93,b'4XMM J000002.0+443053 ',b'                      ',b'2SXPS J000001.9+443055',b'                      '
46,0.0080613,-0.2409634,b'SDSS J000001.93-001427.4 ',b'Q   ',19.93,20.1,b'gG ',b'-',b'-',2.163,b'DR16Q ',b'DR16Q ',,,b'                      ',b'                      ',b'                      ',b'                      '
47,0.0081458,5.3524372,b'SDSS J000001.95+052108.7 ',b'Q   ',19.35,19.49,b'gG ',b'-',b'-',0.404,b'DR16Q ',b'DR16  ',,,b'                      ',b'                      ',b'                      ',b'                      '
48,0.0084189,40.8927044,b'J000002.02+405333.7      ',b'R   ',19.8,20.56,b'jN ',b'n',b'-',0.1,b'MQ    ',b'MQ    ',99,75,b'                      ',b'ILTJ000002.07+405333.7',b'                      ',b'                      '
49,0.0085631,34.6786823,b'SDSS J000002.05+344043.2 ',b'Q   ',21.87,21.94,b'g  ',b'-',b'-',1.576,b'DR16Q ',b'DR16Q ',,,b'                      ',b'                      ',b'                      ',b'                      '
50,0.0085957,19.4048968,b'SDSS J000002.06+192417.7 ',b'Q   ',21.16,21.37,b'gG ',b'1',b'1',0.847,b'DR16Q ',b'DR16  ',,,b'                      ',b'                      ',b'                      ',b'                      '
51,0.0086882,27.4523709,b'SDSS J000002.09+272708.5 ',b'Q   ',20.53,20.96,b'pG ',b'-',b'-',1.36,b'DR16Q ',b'DR16  ',,,b'                      ',b'                      ',b'                      ',b'                      '
52,0.0089611,15.2546542,b'SDSS J000002.15+151516.6 ',b'Q   ',21.16,21.33,b'gG ',b'1',b'-',1.71,b'DR16Q ',b'DR16Q ',,,b'                      ',b'                      ',b'                      ',b'                      '
53,0.0090725,21.9125938,b'J000002.17+215445.3      ',b'qR  ',18.48,18.57,b'pG ',b'-',b'-',1.3,b'MQ    ',b'MQ    ',99,97,b'                      ',b'ILTJ000002.16+215445.0',b'                      ',b'                      '
54,0.009125,-2.3297799,b'SDSS J000002.19-021947.2 ',b'Q   ',21.06,21.07,b'g+G',b'-',b'-',1.966,b'DR16Q ',b'DR16  ',,,b'                      ',b'                      ',b'                      ',b'                      '
55,0.0092103,11.6968604,b'SDSS J000002.20+114148.5 ',b'Q   ',20.39,20.71,b'gG ',b'1',b'-',2.559,b'DR16Q ',b'DR16Q ',,,b'                      ',b'                      ',b'                      ',b'                      '
56,0.0094881,0.6275587,b'SDSS J000002.27+003739.1 ',b'NX  ',18.29,20.9,b'paG',b'1',b'-',0.248,b'DR16  ',b'DR16  ',98,41,b'CXOG J000002.3+003739 ',b'                      ',b'                      ',b'                      '
57,0.0095124,-32.0246628,b'2QZ J000002.2-320129     ',b'K   ',20.05,21.26,b'pmG',b'1',b'-',0.981,b'2QZ   ',b'2QZ   ',,,b'                      ',b'                      ',b'                      ',b'                      '
58,0.0097223,-37.1320834,b'J000002.33-370755.5      ',b'R   ',20.47,21.6,b'j  ',b'-',b'-',,b'MQ    ',b'      ',97,88,b'                      ',b'VLAJ000002.30-370755.4',b'RACS J000002.2-370755 ',b'NVSS J000002.4-370755 '
59,0.0097917,-4.46775,b'IRASF 23574-0444         ',b'NR  ',13.58,14.97,b'p+a',b'1',b'1',0.102,b'PGC   ',b'6dAGN ',100,0,b'                      ',b'VLAJ000002.42-042803.5',b'FIRST J000002.3-042803',b'RACS J000002.3-042804 '
60,0.0098178,22.11055,b'SDSS J000002.35+220637.9 ',b'Q   ',20.39,20.73,b'gG ',b'-',b'-',2.651,b'DR16Q ',b'DR16Q ',,,b'                      ',b'                      ',b'                      ',b'                      '
